player,match_id,avg_runs_last5,avg_wickets_last5,opp_bowling_strength,boundary_score,role_Batsman,role_Bowler,venue_avg_runs,opp_strength,last_runs,last_wickets
V Kohli,3,52,0,118,90,1,0,180,112,58,0
R Sharma,3,48,0,118,85,1,0,180,112,54,0
S Dhawan,3,44,0,118,80,1,0,180,112,49,0
KL Rahul,3,50,0,118,88,1,0,180,112,57,0
S Gill,3,46,0,118,83,1,0,180,112,51,0
AB de Villiers,3,55,0,118,95,1,0,180,112,60,0
D Warner,3,49,0,118,87,1,0,180,112,53,0
S Iyer,3,42,0,118,78,1,0,180,112,45,0
MS Dhoni,3,35,0,118,75,1,0,180,112,40,0
F du Plessis,3,47,0,118,84,1,0,180,112,52,0

H Pandya,3,38,2,118,70,1,1,180,112,41,2
R Jadeja,3,32,2,118,65,1,1,180,112,36,2
G Maxwell,3,40,1,118,82,1,1,180,112,44,1
A Russell,3,36,2,118,88,1,1,180,112,50,2
K Pandya,3,28,1,118,60,1,1,180,112,31,1

J Bumrah,3,8,3,118,20,0,1,180,112,10,3
B Kumar,3,12,2,118,25,0,1,180,112,14,2
M Shami,3,10,3,118,22,0,1,180,112,11,3
T Boult,3,14,2,118,28,0,1,180,112,16,2
M Starc,3,11,3,118,24,0,1,180,112,13,3

Y Chahal,3,15,2,118,30,0,1,180,112,18,2
R Ashwin,3,18,2,118,35,0,1,180,112,20,2
A Zampa,3,13,2,118,27,0,1,180,112,15,2
W Hasaranga,3,17,3,118,40,0,1,180,112,19,3
S Nadeem,3,16,2,118,33,0,1,180,112,17,2

P Shaw,3,41,0,118,76,1,0,180,112,45,0
R Pant,3,39,0,118,78,1,0,180,112,43,0
K Williamson,3,43,0,118,80,1,0,180,112,47,0
S Smith,3,45,0,118,82,1,0,180,112,48,0
D Malan,3,44,0,118,81,1,0,180,112,46,0
